,name,post at,tweets
140,jtvnewscom,2022-03-02,Presiden Joko Widodo mengajak generasi muda untuk pindah dan menetap di Ibu Kota Negara (IKN) baru di Kalimantan Timur. Jokowi juga menawarkan insentif bagi anak muda yang bekerja di IKN. https://t.co/fqrAa8ZPwS
141,_Kemuning_senja,2022-03-02,"@Jul3aRhma3 Masyarakat Diminta Kawal Terus Pemindahan Ibu Kota Negara Baru

https://t.co/wQkWCqB7Ok

#HargaMahal_RezimBebal 
#HargaMahal_RezimBebal"
142,CitraPurnama92,2022-03-02,Stop Propaganda Penolakan Ibu Kota Negara Baru https://t.co/YeW8apyntH
143,MongabayID,2022-03-02,Pesisir Ibu Kota Negara Baru Dijanjikan Akan Berkelanjutan https://t.co/wBbYibCa5u
144,TribunLombokcom,2022-03-02,"Presiden Joko Widodo geram dengan adanya anggota TNI/Polri yang berbicara soal ketidaksukaan terhadap kebijakan pemindahan ibu kota negara di Grup WA.

#Jokowi #JokoWidodo #TNI #Polri #IKN #IbuKotaBaru #WAG

https://t.co/lNroy1GGe3"
145,voidotid,2022-03-02,Pimpinan TNI Angkatan Darat berencana membentuk satuan-satuan setingkat Komando Distrik Militer (Kodim) di lokasi ibu kota negara (IKN) baru di Kalimantan Timur. https://t.co/GqsHN6j0BO
146,KerjaHasil_id,2022-03-02,"Mantan Kepala Badan Perencanaan Pembangunan Nasional Andrinof Chaniago menyebut ibu kota negara (IKN) di Kalimantan menjadi mesin baru perjalanan panjang bagi Republik Indonesia.

𝗝𝗼𝗸𝗼𝘄𝗶 𝗚𝗮𝘀 𝗣𝗼𝗹 𝗜𝗻𝗳𝗿𝗮𝘀𝘁𝗿𝘂𝗸𝘁𝘂𝗿 https://t.co/ujm0aNvnow"
147,azkadotid,2022-03-02,"Tak Ada Alasan ASN Tolak Pindah ke Ibu Kota Negara Baru, Menteri Tjahjo: Hukumnya Adalah Wajib! https://t.co/b8eYr2dTd0"
148,anggita_ayu27,2022-03-02,"Pernyataan dukungan Ibu kota negara baru di Kaltim
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/VMl5d82wTt"
149,WeAre_GARUDA,2022-03-02,"Indonesia Sentris.. 
Terwujudkan
Dgn pemindahan ibukota baru 
IKN

@PlateJohnny 
@kemkominfo 

https://t.co/pf8hez3crI"
150,Beritasatu,2022-03-02,"Kementerian PANRB masih mematangkan skenario pemindahan ASN ke Ibu Kota Negara (IKN) baru.

Selengkapnya: 👇 #ASN https://t.co/YogOOq757p"
151,dinodachi03,2022-03-02,"@AcehSelatanSatu @PurwokoYusup UDAHLAH WOYYYYYY @jokowi !!!!!!!!!!! KALAU TERJADI BENCANA DI IBU KOTA NEGARA BARU DI KALIMANTAN, LEBIH BAIK LO MENYERAH AJA !!!!!!!!!!!!"
152,kaukutangkap_,2022-03-02,Kalimantan Timur dinilai menjadi lokasi tepat untuk menjadi IBU KOTA NEGARA baru karena minimnya potensi bencana alam yg terjadi di sana https://t.co/DhmjjRXx3k
153,MonitorJadul,2022-03-02,Siapapun jangan terprovokasi dengan kelompok-kelompok yang menolak Ibu Kota Negara baru. Gerakan Disiplin Masker https://t.co/xXKdCvLodF
154,BeritaNew3,2022-03-02,"Jangan terprovokasi penolakan ibu kota negara baru
Gerakan Disiplin Masker https://t.co/4S7CMGMZqf"
155,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/9Ud5hdSLHT
156,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/Oe1CyNftqr
157,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/B5zEbUryBn
158,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/tkcMj6fpM0
159,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/kwKDAV1VYD
160,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/DF3Gw6bdhF
161,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/c459xKitIP
162,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/4ikLUY3dpq
163,SlametM0202,2022-03-02,"@CNNIndonesia Hidup tidak ada sempurna tapi tujuan negara memindahkan ibu kota itu adalah tujuan untuk menuju Indonesia baru kenapa dimasalahkan .
Negara yg punya hajat untuk.masa depan bangsa , kenapa tdk dukung tapi selalu korek kesalahan , ini selalu yg terjadi"
164,forjakeu,2022-03-02,"Dialog Pemindahan Ibu Kota Negara Baru sudah beberapa kali di lakukan bahkan melibatkan beberapa elemen Masyarakat,

Bagaimana bisa ada Statement mengatakan bahwa Dialog Pemindahan IKN belum pernah di lakukan secara Masif..!!

Yuk kita sama sama simak video di bawah ini.. 😁 https://t.co/grjlUkPIQ8"
165,bersihkan_indo,2022-03-02,"Alasan pemindahan ibu kota negara baru, 
menghindari bencana untuk mendatangi bencana baru. https://t.co/aNrEoxAti6"
166,chinta_chintata,2022-03-02,"Seperti nya, Dialog Pemindahan Ibu Kota Negara Baru telah beberapa kali di lakukan 🤣..
Bagaimana bisa ada Statement seperti ini.. !!

Ayo ACH,.. disimak siapa tahu lupa atau memang tidak pernah tahu, sini yuk di kasih tahu.

Simak ya BESTie.. 😁 https://t.co/xXd9EokoYT"
167,Istanadaging,2022-03-02,"@republikaonline @msaid_didu Ngga penting ini, yang penring itu Ibu kota negara baru...."
168,Agathis08685249,2022-03-01,"Semoga apa yang direncanakan pemerintah berjalan lancar termasuk pemilu 2024, n konsisten #TolakPenundaanPemilu
 #TolakPenundaanPemilu
Sbg rakyat memohon kiranya pemerintah tidak lagi menambah utang negara, negeri ini kaya kok.
https://t.co/atbeDwWSKo"
169,kentung_mbah,2022-03-01,"Undang-Undang tentang Ibu Kota Negara akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yg mengusung “Kota Dunia untuk Semua” tersebut menjadi awal peradaban baru bagi Indonesia
https://t.co/npWl1d4dEI"
170,jprabo,2022-03-01,@CNNIndonesia Persiapan ibu kota negara baru...
171,MRidwan11390761,2022-03-01,"@tempodotco Ngapai bingung banyak calon ASN yg siap otw ke ibu kota baru...yg gak nurut aturan negara ya siap"" nanggung resiko dong...ber negara kok se enak udel nya....

Indonesia gak butuh pembangkang..
Silakan mundur teratur klo mau bikin aturan sendiri...beres gitu aja kok repot"
172,SaifuddinSay,2022-03-01,"@bangZhack86 @Gojekmilitan Sudah diingatkan... 

https://t.co/Oc75nbCF7T"
173,mediaindonesia,2022-03-01,"DALAM Rapat Pimpinan (Rapim) TNI-Polri, Ketua DPR Dr (HC) Puan Maharani menyinggung soal pembangunan ibu kota negara (IKN) baru di Kalimantan Timur. Ia menyampaikan usulnya mengenai lokasi Mabes TNI dan Mabes Polri di IKN Nusantara.

Sumber: https://t.co/6gZZZppWPZ"
174,PaterStellae,2022-03-01,"@catuaries (maksa) Bikin ibu kota baru
Fanatik
Pengen mensentralisasi semua kekuasaan negara
Mengesampingkan pemuka agama demi agama baru
Bikin bangkrut negara
Ibu kota negara barunya fail abis
Payah soal diplomasi sama negara2 tetangga
Pake anak dan istri buat propaganda"
175,KharismaSang,2022-03-01,"Undang-Undang tentang Ibu Kota Negara akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yg mengusung “Kota Dunia untuk Semua” tersebut menjadi awal peradaban baru bagi Indonesia
https://t.co/HTpCXHKbnd"
176,alvan3371_alvan,2022-03-01,"@geloraco Sepertinya negara ini butuh uang demi mensukseskan pembangunan ibu kota baru, makanya segala nya dinaikan"
177,idntimes,2022-03-01,Ada wisata alam hingga budaya https://t.co/qZca4VRbwl
178,OfficialiNewsTV,2022-03-01,"Presiden Joko Widodo (Jokowi) menegaskan kepastian pemindahan Ibu Kota Negara (IKN) baru. Dia meminta tidak ada lagi percakapan penolakan IKN dalam WhatsApp Grup di kalangan TNI-Polri. PAA

#IKN #Jokowi #TNIPolri #TNI #Polri #Indonesia #WhatsApp #iNewsSore #iNews https://t.co/6kHgd4ZpJ8"
179,serambinews,2022-03-01,"Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokasi menegaskan aparatur sipil negara (ASN) harus siap dipindahkan ke Ibu Kota Negara (IKN) Nusantara.

https://t.co/gqiRnL8Nyz"
180,SydneyX5w,2022-03-01,"https://t.co/doOl2ae2y7

Pemindahan Ibu Kota Negara, Kominfo: Menuju Indonesia Sentris

IKN Baru menuju Indonesia sentris dan tak lagi Jawa sentris.
Narasi utama yang perlu secara konsisten ditegaskan adalah mengapa kita mesti pindah
@PlateJohnny 
@kemkominfo"
181,detikfinance,2022-03-01,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/72HLmMd690
182,tribunkaltim,2022-03-01,"Gempa baru saja guncang Paser Kaltim, Ibu Kota Negara baru tak sepenuhnya aman dari gempa?
https://t.co/mynLvjEC9S
#Gempa #paser #ibukota #IKN #iknbarunusantara #BeritaTerkini"
183,spmedia_jbg,2022-03-01,"Presiden RI, Joko Widodo menetapkan Ibu Kota Negara (IKN) baru di Kalimantan Timur. Proses pemindahan ditargetkan bertahap mulai 2024. https://t.co/KtUQItQF0x"
184,hariankompas,2022-03-01,"Sebagai pusat pertumbuhan baru, IKN menjadi afirmasi dimulainya hegemoni baru sebagai penyeimbang Jawa dan penyelaras Nusantara. Keselarasan pembangunan pada matra darat dan laut akan membuahkan keseimbangan pembangunan. #Opini #AdadiKompas

https://t.co/i3CYaKCe3a"
185,AbdinipunGusti,2022-03-01,"ibu kota negara baru akan membuat koloni baru, akankah berhasil menguasai republik ini para oligarki ?"
186,OOpposih,2022-03-01,"Mahasiswa Sekolah Tinggi Agama Islam Balikpapan menyampaikan mendukung penuh pemindahan ibu kota negara baru ke Kalimantan
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/pYrXcQyuS4"
187,arifarianto474,2022-03-01,"Banyak yang setuju atas pemindahan ibu kota negara baru

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/NhR0hnQXJy"
188,spmedia_jbg,2022-03-01,"Presiden RI, Joko Widodo menetapkan Ibu Kota Negara (IKN) baru di Kalimantan Timur. Proses pemindahan ditargetkan bertahap mulai 2024. https://t.co/xbYhGy60Ke"
189,DKembalu,2022-03-01,"Pemindahan Ibu Kota Negara (IKN) dari Jakarta ke Kalimantan Timur akan segera dilakukan. Namun, mengapa ibu kota negara harus pindah ke tempat yang baru? Cek berikut https://t.co/SoAsQSh1XZ"
190,Ardiesuhardi1,2022-03-01,"@karyawantree @CintaNirmala2 @Sumanto59653397 @Jokerdanbadut @OmegaF1998 @hareypoco @DedekLagiAjaa @FR33D0ML4ND @KangUtang04 @FreeStranger22 @Sangkuriang5551 @OdriSeva @Jaya52102315 @4nw4r__84 @SanusiUndins @zulhamkenzo @boco_aluih_ang @momocimol 65%  DIALOKASIKAN ke. SUN

JHT ditarik semua, ibu kota  negara baru batal dibangun

#SaatnyaRezimJokowiTurun 
#SaatnyaRezimJokowiTurun"
191,HarianKicau,2022-03-01,"Nah kan, kelompok yang sudah dibubarkan pemerintah ini masih aja buat ulah. Kali ini mereka memprovokasi masyarakat untuk menolakn pemindahan Ibu Kota Negara baru. Prokes Basmi Pandemi https://t.co/wPrTTo04gc"
192,DandiHandoko,2022-03-01,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Basmi Pandemi https://t.co/iTNCZNxisf
193,DandiHandoko,2022-03-01,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Basmi Pandemi https://t.co/8PIw9An3x9
194,DandiHandoko,2022-03-01,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Basmi Pandemi https://t.co/LtQ5x2bGaT
195,DandiHandoko,2022-03-01,Pembangunan Ibu Kota Negara yang baru merupakan bagian dari transformasi ekonomi yang akan bermanfaat bagi Indonesia. Prokes Basmi Pandemi https://t.co/jeuP88GCYw
196,Radar_Cirebon,2022-03-01,"JAKARTA – Untuk menjalankan roda pemerintahan di Ibu Kota Negara (IKN) yang baru nanti, dibutuhkan sejumlah Pegawai Negeri Sipil (PNS). Hal ini https://t.co/eplyPvKjnd"
197,lawjusticeco,2022-03-01,Ternyata Banyak PNS Enggan Dipindahkan ke Ibu Kota Negara Baru https://t.co/JWs8MHwXdt
198,23yanuar23,2022-03-01,@mazzini_gsp Depok cocok jadi Ibu Kota Negara yang baru..
199,ErniFahima,2022-03-01,"Ulama Aswaja Blitar Tak Gentar Tolak UU IKN

Luar biasa! Ulama pun memahami hakikat dibalik pemindahan Ibu Kota Negara Baru. Ditengarai UU IKN yang disahkan penuh dengan kedzaliman dan berpihak kepada oligarki. Selengkapnya di
https://t.co/GDteSz33Dw

https://t.co/TxrLv2FIzy"
200,Efendi16133163,2022-02-28,"air hujan dialirkan masuk ke tanah"" ala Anies Baswedan justru akan diterapkan di Ibu Kota Negara (IKN) baru."
201,Solikin96531960,2022-02-28,@pakmul63 Lakukan pemilu sesuai jadwalnya dan batalkan ibu kota negara yang baru.
202,mechhbbyy,2022-02-28,Generasi muda punya harapan besar pada pembangunan ibu kota negara baru (IKN) harus terlibat jangan hanya jadi penonton #SemangatPemulihanNKRI https://t.co/uTv3u9YaID
203,pontianaktv,2022-02-28,"Ormas Dayak se-Kalimantan, mendukung pembangunan ibu kota negara (IKN) yang baru, dengan tetap menjaga adat istiadat dan kearifan lokal. Bahkan mereka menyatakan diri menolak upaya-upaya penggagalan pembangunan IKN https://t.co/sku1z0BoTH https://t.co/o5EY510IJ3"
204,BolangPerjuang1,2022-02-28,"Pemindahan Ibu Kota Negara merupakan sejarah baru bagi Indonesia

#IKN https://t.co/6HouDFLBnt"
205,terkinidotid,2022-02-28,"Banyak ASN Ogah Pindah ke IKN Baru, Tokoh Adat Dayak Kalteng: Kalau Tak Mau, Syukur! Kita yang Ngisi Jabatan!: Tak dimungkiri bahwasanya rencana pemindahan Ibu Kota Negara (IKN) baru cukup… https://t.co/xLmhsC3Q2D #News #TokohadatdayakKalteng #BanyakASNogahpindahkeIKnbaru"
206,detikfinance,2022-02-28,Ibu kota negara (IKN) bakal pindah dari awalnya di Jakarta ke Kalimantan. Pegawai Negeri Sipil (PNS) juga bakal ikut dipindahkan ke IKN. https://t.co/1KpIR5ZWIc
207,JHaduw,2022-02-28,"BAPERA Dukung Pembangunan Ibu Kota Negara Baru (IKN)  Bersama Presiden Joko Widodo https://t.co/ow0gGtjMY7 

#JYPapologizetoATEEZ #MarvelSelcaDay #에이티즈 Rosie #ItsNotOverUntilItsOver 
#NCTDREAM_GlitchMode Prestasi Ganjar Baekho Allah SWT Muhammadiyah"
208,amurka_bali,2022-02-28,@Ars_sand Gpp yg penting punya ibu kota negara yg baru..
209,JHaduw,2022-02-28,"BAPERA Dukung Pembangunan Ibu Kota Negara Baru (IKN)  Bersama Presiden Joko Widodo https://t.co/ow0gGtjMY7 

#ONGSEONGWU #BLACKPINK Nyepi Arifin Panigoro maknae #마크버블 
Paris THANK YOU TWICE #JUSTICEFORATEEZ #STOPCOPYINGATEEZ"
210,JHaduw,2022-02-28,"BAPERA Dukung Pembangunan Ibu Kota Negara Baru (IKN)  Bersama Presiden Joko Widodo https://t.co/ow0gGtjMY7 

BON VOYAGE JISOO OPEN PO Pledis Masjidil Haram
 Innalillahi namjoon Puncak Cimahi Azarine Chef"
211,JHaduw,2022-02-28,"BAPERA Dukung Pembangunan Ibu Kota Negara Baru (IKN)  Bersama Presiden Joko Widodo https://t.co/ow0gGtjMY7 

rosie #JUSTICEFORATEEZ #JYPapologizetoATEEZ Allah SWT Masjidil Aqsa 
#NCTDREAM_GlitchMode THANK YOU TWICE Arifin Panigoro #에이티즈 Baekho"
212,bulan_semesta,2022-02-28,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/oOzl1bOMY6
213,WinJGR,2022-02-28,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/fqfub9ovja
214,detikcom,2022-02-28,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/NwGFRRQG0l
215,detikfinance,2022-02-28,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/HYK5lNsShn
216,Info_BPN,2022-02-28,Inilah Luas Wilayah Ibu Kota Negara Baru dan Konsep yang Diterapkan di IKN Nusantara - https://t.co/2hf7CgkWal https://t.co/aWjojfYUdK https://t.co/pi2B4mQWq8
217,OnoYasuki,2022-02-28,"Ibu kota negara baru Indonesia lebih maju

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/qq680znBPG"
218,alfernado,2022-02-28,@detikfinance Apa iya akan ada ibu kota negara yg baru? Mending ke jonggol aja pindahnya.
219,Radar_Cirebon,2022-02-28,"https://t.co/fEiZM12Lmm, PENAJAM – Oknum dosen di Ibu Kota Negara Baru terbukti melakukan aksi cabul kepada siswi SMP. Hakim Pengadilan Negeri Penajam telah https://t.co/hUAJSji4aC"
220,BayuAryoJatmik1,2022-02-28,Ayo kita dukung pemindahan Ibu Kota Negara baru #IbukotaNegara #IKN #SemangatNusantara #isramiraj https://t.co/BwIzMYmEGE
221,RudiHar20445372,2022-02-28,"Kendaraan Swakemudi Akan Diterapkan di Ibu Kota Negara Baru, Begini Rancangan Sektor Transportasi https://t.co/k9eAUzNfAq"
222,Kokoda73174999,2022-02-28,"@OposisiCerdas Alasannya, beban bangsa banyak karena covid, kurang dana untuk memutar roda perekonomian.
 Trus mau percayakan lanjut pada orang yg ngotot buat Ibu Kota Negara baru padahal katanya duit nggak ada buat pemilu?
Cacat fikir ini."
223,Eksia5,2022-02-28,"Ibu Kota Negara baru akan jadi superhub ekonomi, 6 klaster usaha ini penopangnya.
Masyarakat Taat Prokes https://t.co/PKsHs15fES"
224,Eksia5,2022-02-28,"Pemindahan Ibu Kota Negara sejarah baru Indonesia.
Masyarakat Taat Prokes https://t.co/rurDHhyrJ6"
225,RirinArini22,2022-02-28,Masyarakat Taat Prokes Pemindahan Ibu Kota Negara Sejarah Baru Indonesia https://t.co/k9ZVQ0Q2B8
226,AstridTri4,2022-02-28,Masyarakat Taat Prokes Pemindahan Ibu Kota Negara Sejarah Baru Indonesia https://t.co/IC99eHuX0V
227,RioAbidin2,2022-02-28,Masyarakat Taat Prokes Pemindahan Ibu Kota Negara Sejarah Baru Indonesia https://t.co/tXTQGL4RB7
228,SyahputraRomad1,2022-02-28,"@CandraI84 @DodyPratm4 Ibu Kota Negara Baru Akan Jadi Superhub Ekonomi, 6 Klaster Usaha Ini Penopangnya
Masyarakat Taat Prokes https://t.co/hq0R7F48M6"
229,RadenSalatiga,2022-02-28,"Pemindahan Ibu Kota Negara merupakan  sejarah baru Indonesia.

Masyarakat Taat Prokes https://t.co/yTEP0C8UOW"
230,panjiakbarul,2022-02-28,"@KompasTV Setelah dibaca artikelnya saya pun prihatin ada banyak ujian dan cobaan untuk negara kita, hingga banyak penyesuaian apbd, but why maksa bikin ibu kota baru?"
231,onhukoni,2022-02-28,Ibu Kota negara baru akan jadi superhub ekonomi. Masyarakat Taat Prokes https://t.co/yNByTXTfaa
232,DoankKubi,2022-02-28,"Pemindahan Ibu Kota Negara sejarah baru Indonesia.

Masyarakat Taat Prokes https://t.co/L0EV8yvYPR"
233,GajahIndo4,2022-02-28,"Ibu Kota Negara Baru Akan Jadi Superhub Ekonomi, 6 Klaster Usaha ini Penopangnya
Masyarakat Taat Prokes https://t.co/g2hL1psU7v"
234,IndahSe69326733,2022-02-28,"Ibu Kota Negara Baru Akan Jadi Superhub Ekonomi, 6 Klaster Usaha ini Penopangnya
Masyarakat Taat Prokes https://t.co/rBTNmf38cc"
235,Emayant63176260,2022-02-28,Pemindahan Ibu Kota Negara sejarah baru Indonesia. Masyarakat Taat Prokes https://t.co/6Vu6eDcnjd
236,Emayant63176260,2022-02-28,Ibu Kota negara baru akan jadi Superhub ekonomi Indonesia. Masyarakat Taat Prokes https://t.co/8pMIkhuQep
237,Sherlyhits_,2022-02-28,"pemindahan ibu kota negara sejarah baru indonesia

Masyarakat Taat Prokes https://t.co/Y81nyUqsnd"
238,ghaitsa_kenang,2022-02-28,"Ibu Kota Negara Baru Akan Jadi Superhub Ekonomi, 6 Klaster Usaha ini Penopangnya
Masyarakat Taat Prokes https://t.co/CZdz8TJlbY"
239,Naurakasih_,2022-02-28,"ibu kota negara baru akan jadi superhub ekonomi, 6 klaster usaha ini penopangnya

Masyarakat Taat Prokes https://t.co/tNEOM6zE76"
240,RevanCovida,2022-02-28,"Ibu kota Negara Baru akan jadi Superhub ekonomi, 6 klaster usaha ini penopangnya.

Masyarakat Taat Prokes https://t.co/52et6IcGSa"
241,Jefritokk,2022-02-28,"Pemindahan ibu kota negara sejarah baru Indonesia

Masyarakat Taat Prokes https://t.co/rpHphh18Ar"
242,Jefritokk,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi, 6 cluster usaha ini adalah penopangnya

Masyarakat Taat Prokes https://t.co/Jzg02xqBlM"
243,DinaCitra17,2022-02-28,"Pemindahan Ibu Kota Negara sejarah baru Indonesia, - Masyarakat Taat Prokes https://t.co/2hh1hlP9IT"
244,Indrian45484587,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi 6 Cluster usaha ini penopangnya
Masyarakat Taat Prokes https://t.co/Wy9URrKfdQ"
245,Indones48216902,2022-02-28,Pemindahan Ibu Kota Negara sejarah baru Indonesia. Masyarakat Taat Prokes https://t.co/mJ5d80mLn6
246,DinaCitra17,2022-02-28,Pemindahan Ibu Kota Negara sejarah baru Indonesia - Masyarakat Taat Prokes https://t.co/1zmESXwviY
247,Indones48216902,2022-02-28,Ibu Kota negara baru akan jadi Superhub ekonomi Indonesia. Masyarakat Taat Prokes https://t.co/ghUy9OEMY4
248,TobangN,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi 6 Cluster usaha ini penopangnya
Masyarakat Taat Prokes https://t.co/DyT3GVpG36"
249,PutraBo11381889,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi 6 Cluster usaha ini penopangnya
Masyarakat Taat Prokes https://t.co/gsFvOo3QAy"
250,panggava,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi 6 Cluster usaha ini penopangnya
Masyarakat Taat Prokes https://t.co/i6KAdB8NLY"
251,Windiyanty1,2022-02-28,"Ibu kota negara baru akan jadi super hub ekonomi 6 Cluster usaha ini penopangnya
Masyarakat Taat Prokes https://t.co/bQbGyLZjoj"
252,AriesHetty,2022-02-28,@geloraco Negara tdk ada uang kenapa utk ibu kota negara baru ada uang
253,update_santri,2022-02-28,"Masyarakat Taat Prokes
Ibu Kota Negara Baru https://t.co/tlCogpbAA7"
254,SMustaj,2022-02-28,Ibu Kota Negara Baru akan jadi superhub ekonomi~ - Masyarakat Taat Prokes https://t.co/aPUpb4ju7k
255,SMustaj,2022-02-28,"Ibu Kota Negara Baru akan jadi superhub ekonomi, - Masyarakat Taat Prokes https://t.co/nwEiheIV2q"
256,SMustaj,2022-02-28,"Ibu Kota Negara Baru akan jadi superhub ekonomi, - Masyarakat Taat Prokes https://t.co/3IzadyN3sp"
257,SMustaj,2022-02-28,Ibu Kota Negara Baru akan jadi superhub ekonomi - Masyarakat Taat Prokes https://t.co/vfRCAql6aw
258,IbuPertiwii,2022-02-28,"Ini adalah alasan ibu kota negara baru
Masyarakat Taat Prokes https://t.co/R4mXMleI5D"
259,mantegil1,2022-02-28,"Ibu kota negara baru
Masyarakat Taat Prokes https://t.co/8zmKWlQtwJ"
260,DandiHandoko,2022-02-28,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Masyarakat Taat Prokes https://t.co/cJSNLFHU9T
261,DandiHandoko,2022-02-28,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Masyarakat Taat Prokes https://t.co/hT1sjVt5Ed
262,DandiHandoko,2022-02-28,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Masyarakat Taat Prokes https://t.co/orGVStoI1g
263,DandiHandoko,2022-02-28,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Masyarakat Taat Prokes https://t.co/PtH0sYKiHL
264,HarianKicau,2022-02-28,"Ibu Kota Negara baru akan jadi superhub ekonomi, 6 klaster usaha ini penopangnya. Masyarakat Taat Prokes https://t.co/DyUbkoyVlD"
265,SaniaNurRahma1,2022-02-28,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Masyarakat Taat Prokes https://t.co/7DL8YwH3qM
266,SaniaNurRahma1,2022-02-28,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Masyarakat Taat Prokes https://t.co/3WuDFJM2jn
267,SaniaNurRahma1,2022-02-28,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Masyarakat Taat Prokes https://t.co/uOjl4KhCHE
268,SaniaNurRahma1,2022-02-28,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Masyarakat Taat Prokes https://t.co/HwvZ9aZLVI
269,putribudianto,2022-02-28,"Ibu Kota Negara Baru Akan Jadi Superhub Ekonomi, 6 Klaster Usaha Ini Penopangnya

Masyarakat Taat Prokes https://t.co/f0T2SFN9mM"
270,aiiptu,2022-02-28,"Ibu Kota Negara baru dirancang dapat menciptakan inklusivitas, mengadopsi prinsip kota pintar dan pendekatan ramah lingkungan, serta membuka peluang inovasi dan investasi dari sektor swasta. 

@Suharso_M  @Jiwamudaindo"
271,arif_rintang,2022-02-28,"Ibu Kota Negara baru dirancang dapat menciptakan inklusivitas, mengadopsi prinsip kota pintar dan pendekatan ramah lingkungan, serta membuka peluang inovasi dan investasi dari sektor swasta. 

@Suharso_M @Jiwamudaindo https://t.co/OV5gDhRJdS"
